,Year,Age,Team,GP,GS,Min/Gm,Pt/Gm,Reb/Gm,Ast/Gm,Stl/Gm,Blk/Gm,FG%,3PT%,FT%,BaseSalary
0,2011,26,LAL,61,n/a,36.1,19.6,3.6,9.0,2.6,0.1,.482,.375,.846,"$13,167,648"
1,2012,27,LAL,67,n/a,33.4,17.0,3.7,9.7,2.4,0.1,.474,.326,.884,"$17,779,458"
2,2013,28,LAL,61,61,35.0,19.1,4.3,10.7,2.5,0.1,.468,.373,.855,"$18,668,431"
3,2014,29,LAL,82,82,34.8,19.1,4.6,10.2,1.9,0.2,.485,.398,.900,"$20,068,563"
4,2015,30,LAC,74,74,32.7,19.5,4.2,10.0,2.0,0.2,.462,.371,.896,"$21,468,696"
5,2016,31,LAC,61,61,31.5,18.1,5.0,9.2,2.0,0.1,.476,.411,.892,"$22,868,828"
6,2017,32,HOU,58,58,31.8,18.6,5.4,7.9,1.7,0.2,.460,.380,.919,"$24,268,959"
7,2018,33,HOU,58,58,32.0,15.6,4.6,8.2,2.0,0.3,.419,.358,.862,"$35,654,150"
8,2019,34,OKC,70,70,31.5,17.6,5.0,6.7,1.6,0.2,.489,.365,.907,"$36,099,827"
9,2020,35,PHO,70,70,31.4,16.4,4.4,8.9,1.4,0.3,.499,.395,.934,"$41,358,814"
10,2021,36,PHO,65,65,32.9,14.7,4.4,10.8,1.9,0.3,.493,.317,.837,"$30,800,000"
11,2022,37,PHO,59,59,32.0,13.9,4.3,8.9,1.5,0.4,.440,.375,.831,"$28,400,000"
12,2023,38,GS,58,17,26.4,9.2,3.9,6.8,1.2,0.1,.441,.371,.827,"$30,800,000"
