,Year,Age,Team,GP,GS,Min/Gm,Pt/Gm,Reb/Gm,Ast/Gm,Stl/Gm,Blk/Gm,FG%,3PT%,FT%,BaseSalary
0,2011,23,MIN,55,n/a,38.5,25.9,13.4,2.1,0.8,0.5,.450,.377,.822,"$3,710,250"
1,2012,24,MIN,18,n/a,34.3,18.3,14.0,2.3,0.7,0.5,.352,.217,.704,"$13,668,750"
2,2013,25,MIN,76,76,36.4,26.2,12.5,4.4,0.8,0.4,.456,.375,.823,"$14,693,906"
3,2014,26,CLE,75,75,33.7,16.4,9.7,2.2,0.7,0.5,.434,.367,.804,"$15,719,063"
4,2015,27,CLE,77,77,31.5,16.0,9.9,2.4,0.8,0.5,.418,.360,.822,"$19,689,000"
5,2016,28,CLE,60,60,31.4,19.0,11.1,1.9,0.9,0.4,.427,.373,.871,"$21,165,675"
6,2017,29,CLE,59,59,28.0,17.6,9.2,1.7,0.7,0.4,.458,.415,.880,"$22,642,350"
7,2018,30,CLE,22,21,27.1,17.0,10.9,2.2,0.3,0.2,.385,.361,.904,"$24,119,025"
8,2019,31,CLE,56,56,31.8,17.6,9.8,3.2,0.6,0.3,.450,.374,.854,"$27,133,903"
9,2020,32,CLE,25,25,24.9,12.2,7.4,2.5,0.6,0.1,.409,.365,.824,"$31,258,256"
10,2021,33,CLE,74,4,22.5,13.6,7.2,2.2,0.4,0.2,.430,.392,.838,"$31,258,256"
11,2022,34,MIA,62,20,20.1,8.2,6.4,1.9,0.3,0.2,.389,.334,.879,"$30,556,968"
12,2023,35,MIA,55,5,16.8,8.8,6.1,2.1,0.3,0.2,.440,.344,.787,"$3,835,738"
