,Year,Age,Team,GP,GS,Min/Gm,Pt/Gm,Reb/Gm,Ast/Gm,Stl/Gm,Blk/Gm,FG%,3PT%,FT%,BaseSalary
0,2011,23,OKC,68,n/a,34.9,23.3,4.5,5.4,1.7,0.3,.458,.320,.821,"$4,090,724"
1,2012,24,OKC,80,n/a,34.7,23.2,5.2,7.4,1.8,0.3,.440,.326,.804,"$13,668,750"
2,2013,25,OKC,45,45,30.7,21.8,5.8,6.9,1.9,0.2,.435,.318,.825,"$14,693,906"
3,2014,26,OKC,67,67,34.3,28.1,7.3,8.6,2.1,0.2,.426,.299,.835,"$15,719,062"
4,2015,27,OKC,80,80,34.4,23.5,7.9,10.5,2.0,0.3,.454,.296,.812,"$16,744,218"
5,2016,28,OKC,81,81,34.6,31.6,10.7,10.4,1.7,0.4,.425,.343,.845,"$26,540,100"
6,2017,29,OKC,80,80,36.4,25.4,10.1,10.3,1.8,0.3,.449,.298,.737,"$28,530,608"
7,2018,30,OKC,73,73,36.0,22.9,11.1,10.7,1.9,0.5,.428,.290,.656,"$35,654,150"
8,2019,31,HOU,57,57,35.9,27.2,7.9,7.0,1.6,0.4,.472,.258,.763,"$37,303,152"
9,2020,32,WAS,65,65,36.4,22.2,11.5,11.7,1.4,0.4,.439,.315,.656,"$40,158,814"
10,2021,33,LAL,78,78,34.3,18.5,7.4,7.1,1.0,0.3,.444,.298,.667,"$44,211,146"
11,2022,34,LAC,73,24,29.1,15.9,5.8,7.5,1.0,0.5,.436,.311,.656,"$47,848,392"
12,2023,35,LAC,68,11,22.5,11.1,5.0,4.5,1.1,0.3,.454,.273,.688,"$3,835,738"
